original:

n=10 results=16796 CallsCount=82499
n=9 results=4862 CallsCount=23713
n=8 results=1430 CallsCount=6917
n=7 results=429 CallsCount=2055
n=6 results=132 CallsCount=625
n=5 results=42 CallsCount=196
n=4 results=14 CallsCount=64
n=3 results=5 CallsCount=22
n=2 results=2 CallsCount=8
n=1 results=1 CallsCount=3

for creating csv:

,10,16796,82499
,9,4862,23713
,8,1430,6917
,7,429,2055
,6,132,625
,5,42,196
,4,14,64
,3,5,22
,2,2,8
,1,1,3

,1,1,3
,2,2,8
,3,5,22
,4,14,64
,5,42,196
,6,132,625
,7,429,2055
,8,1430,6917
,9,4862,23713
,10,16796,82499

